Date,Open,High,Low,Close,Adj Close,Volume
2014-05-09,165.289993,165.779999,164.869995,165.720001,150.652481,4228600
2014-05-12,166.309998,166.929993,166.279999,166.800003,151.634277,3944700
2014-05-13,167.100006,167.289993,166.949997,167.050003,151.861618,4133400
2014-05-14,167.089996,167.139999,165.919998,166.110001,151.006973,3104700
2014-05-15,165.779999,165.869995,164.020004,164.550003,149.588882,7539300
2014-05-16,164.160004,164.639999,163.770004,164.610001,150.027084,5115000
2014-05-19,164.139999,164.910004,164.029999,164.710007,150.118225,2879900
2014-05-20,164.699997,164.720001,163.039993,163.320007,148.851334,4856600
2014-05-21,163.949997,165.149994,163.889999,164.979996,150.364365,4898700
2014-05-22,165.089996,165.389999,164.600006,165.179993,150.546631,3564100
2014-05-23,165.289993,165.869995,165.190002,165.830002,151.139130,2857000
2014-05-27,166.449997,166.600006,166.130005,166.470001,151.722336,2561300
2014-05-28,166.539993,166.550003,165.949997,166.089996,151.375961,3681500
2014-05-29,166.470001,166.789993,166.029999,166.779999,152.004868,2763500
2014-05-30,166.600006,167.020004,166.300003,166.929993,152.141541,2769000
2014-06-02,167.250000,167.399994,166.630005,167.199997,152.387604,4453300
2014-06-03,166.940002,167.199997,166.750000,167.020004,152.223633,4125200
2014-06-04,166.889999,167.270004,166.580002,167.130005,152.323822,2264600
2014-06-05,167.509995,168.309998,166.919998,168.139999,153.244400,5416500
2014-06-06,168.580002,169.119995,168.460007,169.080002,154.101166,4118900
2014-06-09,169.119995,169.580002,169.020004,169.240005,154.246964,2713200
2014-06-10,169.149994,169.369995,168.839996,169.350006,154.347153,2821400
2014-06-11,168.750000,168.809998,168.089996,168.350006,153.435806,3064100
2014-06-12,168.289993,168.339996,166.979996,167.289993,152.469650,5409200
2014-06-13,167.539993,167.830002,167.130005,167.619995,152.770477,2708700
2014-06-16,167.389999,167.970001,167.149994,167.690002,152.834229,3068300
2014-06-17,167.429993,168.199997,167.240005,168.000000,153.116806,2884700
2014-06-18,168.050003,169.059998,167.350006,168.929993,153.964417,4729200
2014-06-19,169.020004,169.190002,168.539993,169.089996,154.110229,3028000
2014-06-20,169.250000,169.419998,168.960007,169.080002,154.398834,5370700
2014-06-23,169.059998,169.119995,168.580002,168.910004,154.243576,2729200
2014-06-24,168.830002,169.330002,167.669998,167.869995,153.293869,4861700
2014-06-25,167.520004,168.479996,167.509995,168.279999,153.668274,3657500
2014-06-26,168.380005,168.389999,167.059998,168.080002,153.485641,4052400
2014-06-27,167.759995,168.250000,167.339996,168.169998,153.567841,3092200
2014-06-30,167.910004,168.350006,167.649994,167.889999,153.312180,6488400
2014-07-01,168.289993,169.639999,168.229996,169.199997,154.508377,4911500
2014-07-02,169.309998,169.509995,169.179993,169.399994,154.691025,1929800
2014-07-03,169.850006,170.470001,169.729996,170.470001,155.668121,2074800
2014-07-07,169.880005,170.009995,169.550003,169.860001,155.111069,2937700
2014-07-08,169.580002,169.600006,168.440002,168.850006,154.188858,5438700
2014-07-09,169.179993,169.729996,168.860001,169.580002,154.855347,3543800
2014-07-10,167.889999,169.339996,167.699997,168.960007,154.289246,4932100
2014-07-11,168.770004,169.220001,168.320007,169.199997,154.508377,2830500
2014-07-14,170.149994,170.610001,170.039993,170.289993,155.503754,2831200
2014-07-15,170.509995,170.910004,169.779999,170.380005,155.585922,5168100
2014-07-16,170.960007,171.160004,170.660004,171.070007,156.216064,3197900
2014-07-17,170.809998,171.320007,169.460007,169.610001,154.882828,6149300
2014-07-18,169.949997,170.759995,169.740005,170.580002,155.936203,6924600
2014-07-21,170.100006,170.380005,169.360001,170.179993,155.570511,2886600
2014-07-22,170.559998,170.960007,170.429993,170.740005,156.082474,3798200
2014-07-23,170.809998,170.809998,170.199997,170.559998,155.917908,2607900
2014-07-24,170.660004,170.850006,170.220001,170.440002,155.808228,3226000
2014-07-25,169.770004,169.850006,168.759995,169.160004,154.638138,5714000
2014-07-28,169.229996,169.649994,168.369995,169.410004,154.866699,3606100
2014-07-29,169.889999,170.190002,168.779999,168.779999,154.290726,3683100
2014-07-30,169.270004,169.520004,167.779999,168.479996,154.016510,5446600
2014-07-31,167.270004,167.429993,165.289993,165.289993,151.100357,9038800
2014-08-01,164.800003,165.509995,164.009995,164.570007,150.442245,7435100
2014-08-04,164.800003,165.610001,164.110001,165.330002,151.136917,4400000
2014-08-05,164.800003,165.139999,163.339996,163.919998,149.847977,8522800
2014-08-06,163.460007,164.750000,163.369995,164.199997,150.103928,4781100
2014-08-07,164.850006,164.889999,163.130005,163.550003,149.509705,4962400
2014-08-08,163.669998,165.380005,163.440002,165.339996,151.146027,5412300
2014-08-11,165.960007,166.149994,165.470001,165.550003,151.337997,5761500
2014-08-12,165.279999,165.770004,165.000000,165.490005,151.283142,3274300
2014-08-13,166.000000,166.660004,165.759995,166.490005,152.197327,2844000
2014-08-14,166.690002,167.100006,166.460007,167.100006,152.754959,2752400
2014-08-15,167.419998,167.460007,165.440002,166.350006,152.339111,7032500
2014-08-18,167.250000,168.119995,167.229996,168.059998,153.905090,2975200
2014-08-19,168.639999,169.020004,168.330002,168.889999,154.665192,3057200
2014-08-20,168.720001,169.740005,168.720001,169.600006,155.315369,3108800
2014-08-21,169.809998,170.529999,169.690002,170.179993,155.846573,2652600
2014-08-22,170.009995,170.479996,169.649994,169.869995,155.562622,5152200
2014-08-25,170.559998,171.059998,170.440002,170.619995,156.249466,2588500
2014-08-26,170.820007,171.350006,170.779999,170.929993,156.533386,3581400
2014-08-27,171.149994,171.210007,170.750000,171.009995,156.606628,5162400
2014-08-28,170.399994,170.880005,170.100006,170.770004,156.386841,2781900
2014-08-29,170.899994,171.000000,170.250000,170.880005,156.487625,3280300
2014-09-02,170.940002,171.070007,170.039993,170.580002,156.212845,3458700
2014-09-03,171.380005,171.479996,170.529999,170.720001,156.341080,2847400
2014-09-04,170.910004,171.559998,170.220001,170.660004,156.286133,3760900
2014-09-05,170.520004,171.289993,170.009995,171.250000,156.826462,3403600
2014-09-08,171.039993,171.350006,170.750000,171.059998,156.652451,3139800
2014-09-09,170.789993,170.839996,169.889999,170.119995,155.791565,4252400
2014-09-10,170.169998,170.809998,169.710007,170.669998,156.295288,4595400
2014-09-11,169.889999,170.619995,169.820007,170.509995,156.148743,3026200
2014-09-12,170.380005,170.440002,169.399994,169.899994,155.590149,5000800
2014-09-15,170.059998,170.570007,169.550003,170.320007,155.974747,5130700
2014-09-16,169.960007,171.710007,169.889999,171.380005,156.945496,5946400
2014-09-17,171.570007,172.250000,170.929993,171.580002,157.128632,8498600
2014-09-18,172.009995,172.800003,171.899994,172.610001,158.071838,6458100
2014-09-19,173.000000,173.320007,172.190002,172.449997,158.303772,9341000
2014-09-22,172.350006,172.380005,171.220001,171.410004,157.349121,4894200
2014-09-23,170.850006,171.380005,170.210007,170.210007,156.247559,5521800
2014-09-24,170.360001,171.899994,169.979996,171.789993,157.697906,5813000
2014-09-25,171.500000,171.529999,169.089996,169.169998,155.292755,8910500
2014-09-26,169.789993,171.130005,169.500000,170.699997,156.697342,6062200
2014-09-29,169.179993,170.580002,168.940002,170.330002,156.357697,5167800
2014-09-30,170.449997,171.100006,169.800003,170.070007,156.119064,5492800
2014-10-01,169.910004,169.979996,167.419998,167.679993,153.925064,11030600
2014-10-02,167.389999,168.270004,166.429993,167.649994,153.897552,9093700
2014-10-03,168.889999,169.970001,168.369995,169.720001,155.797745,5589100
2014-10-06,170.440002,170.690002,168.960007,169.570007,155.660095,5315300
2014-10-07,168.729996,168.940002,166.860001,166.860001,153.172318,7128800
2014-10-08,166.869995,169.820007,166.350006,169.619995,155.705887,8893200
2014-10-09,169.160004,169.479996,166.199997,166.339996,152.694962,13387300
2014-10-10,166.389999,167.360001,165.210007,165.210007,151.657715,12717500
2014-10-13,165.089996,165.789993,162.839996,162.929993,149.564728,14117000
2014-10-14,163.669998,164.410004,162.500000,163.029999,149.656540,13626400
2014-10-15,161.190002,161.850006,158.270004,161.279999,148.050018,24966700
2014-10-16,159.000000,161.949997,158.729996,160.979996,147.774658,18926600
2014-10-17,162.679993,163.949997,162.210007,163.449997,150.175018,11730200
2014-10-20,162.350006,163.679993,162.250000,163.649994,150.358704,7156500
2014-10-21,164.449997,165.869995,164.119995,165.800003,152.334167,8994600
2014-10-22,166.169998,166.229996,164.279999,164.380005,151.029480,6025100
2014-10-23,166.050003,167.360001,166.009995,166.449997,152.931412,7029700
